decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
1,MANDADO DE SEGURANÇA TR CÍVEL,Julgamento Principal,"Indenização por dano moral, Responsabilidade civil, DIREITO CIVIL",JEF Recurso Cível,ALESSANDRA BELFORT BUENO,10/03/2025,12/03/2025,5021277-41.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\1.pdf
2,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"IRPF/Imposto de Renda de Pessoa Física, Impostos, DIREITO TRIBUTÁRIO, Isenção, Limitações ao Poder de Tributar, DIREITO TRIBUTÁRIO, Incidência sobre Aposentadoria, IRPF/Imposto de Renda de Pessoa Física, Impostos, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,06/03/2025,18/03/2025,5020184-43.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\2.pdf
3,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Servidores Inativos, Contribuições Previdenciárias, Contribuições, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,CYNTIA LEITE MARQUES,28/02/2025,25/03/2025,5019643-10.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\3.pdf
4,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"CND/Certidão Negativa de Débito, Crédito Tributário, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,CYNTIA LEITE MARQUES,28/02/2025,11/03/2025,5019552-17.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\4.pdf
5,RECURSO CÍVEL,Julgamento Principal,"Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,26/02/2025,25/03/2025,5018960-70.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\5.pdf
6,CONFLITO DE COMPETÊNCIA,Julgamento Principal,"Assistência Social, Garantias Constitucionais, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Bolsa Família (Lei 14.601/2023), DIREITO ASSISTENCIAL",JEF Recurso Cível,ADRIANA MENEZES DE REZENDE,25/02/2025,12/03/2025,5018130-07.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\6.pdf
7,MANDADO DE SEGURANÇA TR CÍVEL,Julgamento Principal,"Gratificação de incentivo, Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,CYNTIA LEITE MARQUES,24/02/2025,18/03/2025,5017817-46.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\7.pdf
8,MANDADO DE SEGURANÇA TR CÍVEL,Julgamento Principal,"Graduação (Bacharelado, Licenciatura, Profissional Tecnológica), EDUCAÇÃO SUPERIOR, DIREITO À EDUCAÇÃO",JEF Recurso Cível,CASSIO MURILO MONTEIRO GRANZINOLI,24/02/2025,25/03/2025,5017606-10.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\8.pdf
9,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Fornecimento de medicamentos, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,CASSIO MURILO MONTEIRO GRANZINOLI,21/02/2025,25/03/2025,5017163-59.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\9.pdf
10,MANDADO DE SEGURANÇA TR CÍVEL,Julgamento Principal,"Descontos Indevidos, Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,CYNTIA LEITE MARQUES,21/02/2025,25/02/2025,5017131-54.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\10.pdf
11,RECURSO CÍVEL,Julgamento Principal,"IRPF/Imposto de Renda de Pessoa Física, Impostos, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,21/02/2025,25/03/2025,5017048-38.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\11.pdf
12,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Cirurgia, Tratamento médico-hospitalar, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,ALESSANDRA BELFORT BUENO,20/02/2025,19/03/2025,5016649-09.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\12.pdf
13,RECURSO CÍVEL,Embargos de Declaração,"Auxílio-alimentação, Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,19/02/2025,25/03/2025,5015837-64.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\13.pdf
14,RECURSO CÍVEL,Julgamento Principal,"Auxílio-alimentação, Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,19/02/2025,11/03/2025,5015837-64.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\14.pdf
15,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Indenização por Dano Material, Responsabilidade do Fornecedor, DIREITO DO CONSUMIDOR, Indenização por Dano Moral, Responsabilidade do Fornecedor, DIREITO DO CONSUMIDOR",JEF Recurso Cível,CYNTIA LEITE MARQUES,19/02/2025,25/02/2025,5015810-81.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\15.pdf
16,Agravo em Pedido de Uniformização de Interpretação de Lei (TRU),,"Incidência sobre Licença-Prêmio/Abono/Indenização, IRPF/Imposto de Renda de Pessoa Física, Impostos, DIREITO TRIBUTÁRIO",Turma Regional de Uniformização,FLAVIO OLIVEIRA LUCAS,18/02/2025,27/02/2025,5002855-07.2024.4.02.5116,outputs\runs\run-20260613T194355128632Z\data\decisions\16.pdf
17,Agravo em Pedido de Uniformização de Interpretação de Lei (TRU),,"Indenização por Dano Moral, Responsabilidade do Fornecedor, DIREITO DO CONSUMIDOR, Indenização por Dano Material, Responsabilidade do Fornecedor, DIREITO DO CONSUMIDOR",Turma Regional de Uniformização,FLAVIO OLIVEIRA LUCAS,17/02/2025,27/02/2025,5037189-92.2022.4.02.5001,outputs\runs\run-20260613T194355128632Z\data\decisions\17.pdf
18,PETIÇÃO TR CÍVEL,Julgamento Principal,"Cirurgia, Tratamento médico-hospitalar, Pública, DIREITO DA SAÚDE, Liminar, Medida Cautelar, DIREITO PROCESSUAL CIVIL E DO TRABALHO",JEF Recurso Cível,KARLA NANCI GRANDO,17/02/2025,26/02/2025,5015036-51.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\18.pdf
19,RECURSO CÍVEL,Julgamento Principal,"Auxílio-alimentação, Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,CASSIO MURILO MONTEIRO GRANZINOLI,14/02/2025,18/03/2025,5014186-94.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\19.pdf
20,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Fornecimento de insumos, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,CASSIO MURILO MONTEIRO GRANZINOLI,13/02/2025,25/03/2025,5012949-25.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\20.pdf
21,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"CPF/Cadastro de Pessoas Físicas, Obrigação Tributária, DIREITO TRIBUTÁRIO, Isenção, Limitações ao Poder de Tributar, DIREITO TRIBUTÁRIO, Repetição de Indébito, Crédito Tributário, DIREITO TRIBUTÁRIO, Moléstia Profissional ou Doença Grave, Invalidez Permanente, Aposentadoria, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Tributário,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,13/02/2025,18/03/2025,5012124-81.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\21.pdf
22,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Tratamento médico-hospitalar, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,CASSIO MURILO MONTEIRO GRANZINOLI,12/02/2025,25/03/2025,5012020-89.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\22.pdf
23,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Fornecimento de insumos, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,CAROLINE MEDEIROS E SILVA,12/02/2025,26/03/2025,5011821-67.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\23.pdf
24,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Pensão, Militar, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Antecipação de Tutela / Tutela Específica, Processo e Procedimento, DIREITO PROCESSUAL CIVIL E DO TRABALHO",JEF Recurso Cível,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,11/02/2025,18/03/2025,5011406-84.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\24.pdf
25,PETIÇÃO TR CÍVEL,Julgamento Principal,"Fornecimento de insumos, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,CYNTIA LEITE MARQUES,11/02/2025,18/03/2025,5011233-60.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\25.pdf
26,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Oncológico, Fornecimento de medicamentos, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,ALESSANDRA BELFORT BUENO,11/02/2025,19/03/2025,5011213-69.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\26.pdf
27,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Fornecimento de insumos, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,ALESSANDRA BELFORT BUENO,11/02/2025,19/03/2025,5011211-02.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\27.pdf
28,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Contratos Bancários, Espécies de contratos, Obrigações, DIREITO CIVIL",JEF Recurso Cível,CYNTIA LEITE MARQUES,11/02/2025,18/03/2025,5011122-76.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\28.pdf
29,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Internação/Transferência Hospitalar, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,ALESSANDRA BELFORT BUENO,10/02/2025,19/03/2025,5011019-69.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\29.pdf
30,RECURSO CÍVEL,Julgamento Principal,"Abono de Permanência, Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,ADRIANA MENEZES DE REZENDE,10/02/2025,26/02/2025,5010759-89.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\30.pdf
31,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Fornecimento de insumos, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,CAROLINE MEDEIROS E SILVA,10/02/2025,19/03/2025,5010758-07.2025.4.02.5101,outputs\runs\run-20260613T194355128632Z\data\decisions\31.pdf
