ID DECISÃO TRF2,NUMERO PROCESSO,TEMA TNU,CONSONÂNCIA OU DISSONÂNCIA
TRF2-LIVE-1,5005545-26.2025.4.02.5002,1,CONSONANCIA
TRF2-LIVE-2,5006229-17.2026.4.02.5001,9,DISSONANCIA
TRF2-LIVE-3,0025727-52.2017.4.02.5050,9,DISSONANCIA
TRF2-LIVE-4,5036398-55.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-5,5029951-17.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-6,5002738-33.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-7,5002000-48.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-8,5042404-78.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-9,5002566-79.2025.4.02.5006,9,DISSONANCIA
TRF2-LIVE-10,5000056-47.2021.4.02.5002,9,DISSONANCIA
TRF2-LIVE-11,5000554-07.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-12,5030967-06.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-13,5003031-91.2025.4.02.5005,9,DISSONANCIA
TRF2-LIVE-14,5008397-45.2024.4.02.5006,9,DISSONANCIA
TRF2-LIVE-15,5004400-69.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-16,5002478-22.2026.4.02.5001,9,DISSONANCIA
TRF2-LIVE-17,5003798-29.2025.4.02.5006,9,DISSONANCIA
TRF2-LIVE-18,5022737-72.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-19,5031804-32.2023.4.02.5001,9,DISSONANCIA
TRF2-LIVE-20,5001404-55.2025.4.02.5004,9,DISSONANCIA
TRF2-LIVE-21,5002189-26.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-22,5000508-12.2025.4.02.5004,9,DISSONANCIA
TRF2-LIVE-23,5011556-74.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-24,5000513-34.2025.4.02.5004,9,DISSONANCIA
TRF2-LIVE-25,5000985-66.2024.4.02.5005,9,DISSONANCIA
TRF2-LIVE-26,5006918-29.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-27,5002073-17.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-28,5026283-72.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-29,5003490-39.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-30,5035992-68.2023.4.02.5001,9,DISSONANCIA
TRF2-LIVE-31,5004422-24.2024.4.02.5003,9,DISSONANCIA
TRF2-LIVE-32,5001380-30.2025.4.02.5003,9,DISSONANCIA
TRF2-LIVE-33,5010446-71.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-34,5007037-53.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-35,5030911-70.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-36,5010532-76.2023.4.02.5002,9,DISSONANCIA
TRF2-LIVE-37,5006099-80.2024.4.02.5006,9,DISSONANCIA
TRF2-LIVE-38,5002653-35.2025.4.02.5006,9,DISSONANCIA
TRF2-LIVE-39,5001959-81.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-40,5003978-54.2025.4.02.5003,9,DISSONANCIA
TRF2-LIVE-41,5005749-07.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-42,5001621-04.2025.4.02.5003,9,DISSONANCIA
TRF2-LIVE-43,5002243-74.2025.4.02.5006,9,DISSONANCIA
TRF2-LIVE-44,5003379-55.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-45,5003801-90.2025.4.02.5003,9,DISSONANCIA
TRF2-LIVE-46,5003246-67.2025.4.02.5005,9,DISSONANCIA
TRF2-LIVE-47,5034362-40.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-48,5007895-24.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-49,5001375-79.2023.4.02.5002,9,DISSONANCIA
TRF2-LIVE-50,5027299-61.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-51,5017179-56.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-52,5003009-30.2025.4.02.5006,9,DISSONANCIA
TRF2-LIVE-53,5010237-71.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-54,5029308-93.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-55,5004191-60.2025.4.02.5003,9,DISSONANCIA
TRF2-LIVE-56,5007822-15.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-57,5000123-58.2025.4.02.5006,9,DISSONANCIA
TRF2-LIVE-58,5040981-20.2023.4.02.5001,9,DISSONANCIA
TRF2-LIVE-59,5006121-07.2025.4.02.5006,9,DISSONANCIA
TRF2-LIVE-60,5000334-12.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-61,5005728-02.2022.4.02.5002,9,DISSONANCIA
TRF2-LIVE-62,5002457-14.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-63,5035475-29.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-64,5035981-05.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-65,5002898-55.2025.4.02.5003,9,DISSONANCIA
TRF2-LIVE-66,5020397-58.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-67,5004790-33.2024.4.02.5003,9,DISSONANCIA
TRF2-LIVE-68,5019434-55.2022.4.02.5001,9,DISSONANCIA
TRF2-LIVE-69,5002986-95.2022.4.02.5004,9,DISSONANCIA
TRF2-LIVE-70,5019855-40.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-71,5041559-46.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-72,5007132-08.2024.4.02.5006,9,DISSONANCIA
TRF2-LIVE-73,5015035-75.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-74,5009863-89.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-75,5028712-75.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-76,5005629-15.2025.4.02.5006,9,DISSONANCIA
TRF2-LIVE-77,5033614-71.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-78,5004809-42.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-79,5004035-03.2024.4.02.5005,9,DISSONANCIA
TRF2-LIVE-80,5001000-98.2025.4.02.5005,9,DISSONANCIA
TRF2-LIVE-81,5006990-04.2024.4.02.5006,9,DISSONANCIA
TRF2-LIVE-82,5035217-19.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-83,5007666-27.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-84,5033424-11.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-85,5022502-08.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-86,5002591-41.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-87,5003147-97.2025.4.02.5005,9,DISSONANCIA
TRF2-LIVE-88,5004362-23.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-89,5035764-59.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-90,5008626-85.2022.4.02.5002,9,DISSONANCIA
TRF2-LIVE-91,5008223-70.2023.4.02.5006,9,DISSONANCIA
TRF2-LIVE-92,5026673-08.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-93,5004819-86.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-94,5003452-21.2024.4.02.5004,9,DISSONANCIA
TRF2-LIVE-95,5001083-26.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-96,5005692-52.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-97,5000963-20.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-98,5000758-51.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-99,5040972-24.2024.4.02.5001,9,DISSONANCIA
TRF2-LIVE-100,5003248-43.2025.4.02.5003,9,DISSONANCIA
