decisionId,temaTnu,action
TRF2-LIVE-1,1,NEGAR_SEGUIMENTO
TRF2-LIVE-2,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-3,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-4,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-5,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-6,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-7,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-8,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-9,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-10,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-11,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-12,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-13,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-14,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-15,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-16,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-17,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-18,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-19,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-20,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-21,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-22,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-23,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-24,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-25,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-26,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-27,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-28,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-29,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-30,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-31,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-32,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-33,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-34,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-35,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-36,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-37,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-38,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-39,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-40,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-41,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-42,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-43,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-44,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-45,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-46,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-47,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-48,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-49,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-50,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-51,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-52,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-53,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-54,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-55,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-56,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-57,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-58,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-59,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-60,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-61,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-62,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-63,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-64,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-65,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-66,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-67,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-68,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-69,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-70,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-71,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-72,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-73,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-74,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-75,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-76,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-77,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-78,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-79,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-80,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-81,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-82,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-83,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-84,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-85,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-86,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-87,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-88,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-89,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-90,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-91,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-92,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-93,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-94,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-95,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-96,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-97,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-98,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-99,9,DETERMINAR_ADEQUACAO
TRF2-LIVE-100,9,DETERMINAR_ADEQUACAO
