ID DECISÃO TRF2,NUMERO PROCESSO,TEMA TNU,CONSONÂNCIA OU DISSONÂNCIA
TRF2-LIVE-1,5040565-81.2025.4.02.5001,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-2,5006229-17.2026.4.02.5001,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-3,5004980-27.2023.4.02.5004,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-4,5036398-55.2024.4.02.5001,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-5,5002738-33.2025.4.02.5002,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-6,5000056-47.2021.4.02.5002,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-7,5000985-66.2024.4.02.5005,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-8,5003798-29.2025.4.02.5006,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-9,5002243-74.2025.4.02.5006,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-10,5008397-45.2024.4.02.5006,NENHUM_TEMA,NAO_APLICAVEL
