ID DECISÃO TRF2,NUMERO PROCESSO,TEMA TNU,CONSONÂNCIA OU DISSONÂNCIA
46,5008420-60.2025.4.02.5101,26,CONSONANCIA
32,5010717-40.2025.4.02.5101,16,CONSONANCIA
21,5012124-81.2025.4.02.5101,1,CONSONANCIA
2,5020184-43.2025.4.02.5101,50,CONSONANCIA
34,5010661-07.2025.4.02.5101,8,CONSONANCIA
41,5009696-29.2025.4.02.5101,24,CONSONANCIA
17,5037189-92.2022.4.02.5001,13,CONSONANCIA
6,5018130-07.2025.4.02.5101,10,CONSONANCIA
18,5015036-51.2025.4.02.5101,48,CONSONANCIA
37,5000253-42.2025.4.02.5105,20,CONSONANCIA
16,5002855-07.2024.4.02.5116,13,CONSONANCIA
3,5019643-10.2025.4.02.5101,35,CONSONANCIA
47,5008391-10.2025.4.02.5101,35,CONSONANCIA
50,5008179-86.2025.4.02.5101,35,CONSONANCIA
1,5021277-41.2025.4.02.5101,8,CONSONANCIA
44,5009386-23.2025.4.02.5101,50,CONSONANCIA
48,5008363-42.2025.4.02.5101,8,CONSONANCIA
36,5010315-56.2025.4.02.5101,26,CONSONANCIA
24,5011406-84.2025.4.02.5101,23,CONSONANCIA
15,5015810-81.2025.4.02.5101,2,CONSONANCIA
7,5017817-46.2025.4.02.5101,16,CONSONANCIA
30,5010759-89.2025.4.02.5101,16,CONSONANCIA
10,5017131-54.2025.4.02.5101,16,CONSONANCIA
13,5015837-64.2025.4.02.5101,4,CONSONANCIA
14,5015837-64.2025.4.02.5101,4,CONSONANCIA
19,5014186-94.2025.4.02.5101,4,CONSONANCIA
5,5018960-70.2025.4.02.5101,16,CONSONANCIA
43,5009404-44.2025.4.02.5101,6,CONSONANCIA
8,5017606-10.2025.4.02.5101,7,CONSONANCIA
35,5010491-35.2025.4.02.5101,20,CONSONANCIA
4,5019552-17.2025.4.02.5101,2,CONSONANCIA
28,5011122-76.2025.4.02.5101,8,CONSONANCIA
39,5009793-29.2025.4.02.5101,8,CONSONANCIA
40,5009793-29.2025.4.02.5101,8,CONSONANCIA
11,5017048-38.2025.4.02.5101,6,CONSONANCIA
26,5011213-69.2025.4.02.5101,20,CONSONANCIA
12,5016649-09.2025.4.02.5101,20,CONSONANCIA
42,5009553-40.2025.4.02.5101,20,CONSONANCIA
29,5011019-69.2025.4.02.5101,20,CONSONANCIA
49,5008246-51.2025.4.02.5101,20,CONSONANCIA
9,5017163-59.2025.4.02.5101,20,CONSONANCIA
22,5012020-89.2025.4.02.5101,20,CONSONANCIA
33,5010702-71.2025.4.02.5101,20,CONSONANCIA
38,5009821-94.2025.4.02.5101,20,CONSONANCIA
45,5009101-30.2025.4.02.5101,20,CONSONANCIA
20,5012949-25.2025.4.02.5101,20,CONSONANCIA
23,5011821-67.2025.4.02.5101,20,CONSONANCIA
25,5011233-60.2025.4.02.5101,20,CONSONANCIA
27,5011211-02.2025.4.02.5101,20,CONSONANCIA
31,5010758-07.2025.4.02.5101,20,CONSONANCIA
