decisionId,temaTnu,action
46,26,NEGAR_SEGUIMENTO
32,16,NEGAR_SEGUIMENTO
21,1,NEGAR_SEGUIMENTO
2,50,NEGAR_SEGUIMENTO
34,8,NEGAR_SEGUIMENTO
41,24,NEGAR_SEGUIMENTO
17,13,NEGAR_SEGUIMENTO
6,10,NEGAR_SEGUIMENTO
18,48,NEGAR_SEGUIMENTO
37,20,NEGAR_SEGUIMENTO
16,13,NEGAR_SEGUIMENTO
3,35,NEGAR_SEGUIMENTO
47,35,NEGAR_SEGUIMENTO
50,35,NEGAR_SEGUIMENTO
1,8,NEGAR_SEGUIMENTO
44,50,NEGAR_SEGUIMENTO
48,8,NEGAR_SEGUIMENTO
36,26,NEGAR_SEGUIMENTO
24,23,NEGAR_SEGUIMENTO
15,2,NEGAR_SEGUIMENTO
7,16,NEGAR_SEGUIMENTO
30,16,NEGAR_SEGUIMENTO
10,16,NEGAR_SEGUIMENTO
13,4,NEGAR_SEGUIMENTO
14,4,NEGAR_SEGUIMENTO
19,4,NEGAR_SEGUIMENTO
5,16,NEGAR_SEGUIMENTO
43,6,NEGAR_SEGUIMENTO
8,7,NEGAR_SEGUIMENTO
35,20,NEGAR_SEGUIMENTO
4,2,NEGAR_SEGUIMENTO
28,8,NEGAR_SEGUIMENTO
39,8,NEGAR_SEGUIMENTO
40,8,NEGAR_SEGUIMENTO
11,6,NEGAR_SEGUIMENTO
26,20,NEGAR_SEGUIMENTO
12,20,NEGAR_SEGUIMENTO
42,20,NEGAR_SEGUIMENTO
29,20,NEGAR_SEGUIMENTO
49,20,NEGAR_SEGUIMENTO
9,20,NEGAR_SEGUIMENTO
22,20,NEGAR_SEGUIMENTO
33,20,NEGAR_SEGUIMENTO
38,20,NEGAR_SEGUIMENTO
45,20,NEGAR_SEGUIMENTO
20,20,NEGAR_SEGUIMENTO
23,20,NEGAR_SEGUIMENTO
25,20,NEGAR_SEGUIMENTO
27,20,NEGAR_SEGUIMENTO
31,20,NEGAR_SEGUIMENTO
