decisionId,temaTnu,consonancia,validade,justificativa
46,26,CONSONANCIA,VALIDA,Tema 26 selecionado por semelhanca de assunto.
32,16,CONSONANCIA,VALIDA,Tema 16 selecionado por semelhanca de assunto.
21,1,CONSONANCIA,VALIDA,Tema 1 selecionado por semelhanca de assunto.
2,50,CONSONANCIA,VALIDA,Tema 50 selecionado por semelhanca de assunto.
34,8,CONSONANCIA,VALIDA,Tema 8 selecionado por semelhanca de assunto.
41,24,CONSONANCIA,VALIDA,Tema 24 selecionado por semelhanca de assunto.
17,13,CONSONANCIA,VALIDA,Tema 13 selecionado por semelhanca de assunto.
6,10,CONSONANCIA,VALIDA,Tema 10 selecionado por semelhanca de assunto.
18,48,CONSONANCIA,VALIDA,Tema 48 selecionado por semelhanca de assunto.
37,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
16,13,CONSONANCIA,VALIDA,Tema 13 selecionado por semelhanca de assunto.
3,35,CONSONANCIA,VALIDA,Tema 35 selecionado por semelhanca de assunto.
47,35,CONSONANCIA,VALIDA,Tema 35 selecionado por semelhanca de assunto.
50,35,CONSONANCIA,VALIDA,Tema 35 selecionado por semelhanca de assunto.
1,8,CONSONANCIA,VALIDA,Tema 8 selecionado por semelhanca de assunto.
44,50,CONSONANCIA,VALIDA,Tema 50 selecionado por semelhanca de assunto.
48,8,CONSONANCIA,VALIDA,Tema 8 selecionado por semelhanca de assunto.
36,26,CONSONANCIA,VALIDA,Tema 26 selecionado por semelhanca de assunto.
24,23,CONSONANCIA,VALIDA,Tema 23 selecionado por semelhanca de assunto.
15,2,CONSONANCIA,VALIDA,Tema 2 selecionado por semelhanca de assunto.
7,16,CONSONANCIA,VALIDA,Tema 16 selecionado por semelhanca de assunto.
30,16,CONSONANCIA,VALIDA,Tema 16 selecionado por semelhanca de assunto.
10,16,CONSONANCIA,VALIDA,Tema 16 selecionado por semelhanca de assunto.
13,4,CONSONANCIA,VALIDA,Tema 4 selecionado por semelhanca de assunto.
14,4,CONSONANCIA,VALIDA,Tema 4 selecionado por semelhanca de assunto.
19,4,CONSONANCIA,VALIDA,Tema 4 selecionado por semelhanca de assunto.
5,16,CONSONANCIA,VALIDA,Tema 16 selecionado por semelhanca de assunto.
43,6,CONSONANCIA,VALIDA,Tema 6 selecionado por semelhanca de assunto.
8,7,CONSONANCIA,VALIDA,Tema 7 selecionado por semelhanca de assunto.
35,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
4,2,CONSONANCIA,VALIDA,Tema 2 selecionado por semelhanca de assunto.
28,8,CONSONANCIA,VALIDA,Tema 8 selecionado por semelhanca de assunto.
39,8,CONSONANCIA,VALIDA,Tema 8 selecionado por semelhanca de assunto.
40,8,CONSONANCIA,VALIDA,Tema 8 selecionado por semelhanca de assunto.
11,6,CONSONANCIA,VALIDA,Tema 6 selecionado por semelhanca de assunto.
26,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
12,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
42,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
29,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
49,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
9,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
22,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
33,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
38,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
45,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
20,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
23,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
25,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
27,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
31,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhanca de assunto.
