decisionId,temaTnu,action
44,230,NEGAR_SEGUIMENTO
77,164,NEGAR_SEGUIMENTO
1633,120,NEGAR_SEGUIMENTO
1634,120,NEGAR_SEGUIMENTO
1749,120,NEGAR_SEGUIMENTO
1797,301,NEGAR_SEGUIMENTO
748,164,NEGAR_SEGUIMENTO
1269,164,NEGAR_SEGUIMENTO
1046,120,NEGAR_SEGUIMENTO
1255,120,NEGAR_SEGUIMENTO
216,164,NEGAR_SEGUIMENTO
1076,164,NEGAR_SEGUIMENTO
1356,271,NEGAR_SEGUIMENTO
1419,322,NEGAR_SEGUIMENTO
1915,244,NEGAR_SEGUIMENTO
986,120,NEGAR_SEGUIMENTO
727,164,NEGAR_SEGUIMENTO
194,271,NEGAR_SEGUIMENTO
803,157,NEGAR_SEGUIMENTO
1421,120,NEGAR_SEGUIMENTO
214,164,NEGAR_SEGUIMENTO
195,294,NEGAR_SEGUIMENTO
315,244,NEGAR_SEGUIMENTO
64,164,NEGAR_SEGUIMENTO
466,313,NEGAR_SEGUIMENTO
1229,164,NEGAR_SEGUIMENTO
1443,164,NEGAR_SEGUIMENTO
1302,120,NEGAR_SEGUIMENTO
1974,120,NEGAR_SEGUIMENTO
1088,273,NEGAR_SEGUIMENTO
1388,76,NEGAR_SEGUIMENTO
1569,120,NEGAR_SEGUIMENTO
875,167,NEGAR_SEGUIMENTO
193,271,NEGAR_SEGUIMENTO
1042,271,NEGAR_SEGUIMENTO
1135,271,NEGAR_SEGUIMENTO
1354,271,NEGAR_SEGUIMENTO
1473,271,NEGAR_SEGUIMENTO
1393,157,NEGAR_SEGUIMENTO
324,93,NEGAR_SEGUIMENTO
572,81,NEGAR_SEGUIMENTO
1570,120,NEGAR_SEGUIMENTO
293,244,NEGAR_SEGUIMENTO
578,71,NEGAR_SEGUIMENTO
449,294,NEGAR_SEGUIMENTO
655,294,NEGAR_SEGUIMENTO
656,294,NEGAR_SEGUIMENTO
927,294,NEGAR_SEGUIMENTO
928,294,NEGAR_SEGUIMENTO
929,294,NEGAR_SEGUIMENTO
1368,294,NEGAR_SEGUIMENTO
1369,294,NEGAR_SEGUIMENTO
1370,294,NEGAR_SEGUIMENTO
1543,294,NEGAR_SEGUIMENTO
1544,294,NEGAR_SEGUIMENTO
1551,294,NEGAR_SEGUIMENTO
1586,294,NEGAR_SEGUIMENTO
1587,294,NEGAR_SEGUIMENTO
1684,294,NEGAR_SEGUIMENTO
1685,294,NEGAR_SEGUIMENTO
1701,294,NEGAR_SEGUIMENTO
1702,294,NEGAR_SEGUIMENTO
1703,294,NEGAR_SEGUIMENTO
1704,294,NEGAR_SEGUIMENTO
1658,329,NEGAR_SEGUIMENTO
604,120,NEGAR_SEGUIMENTO
62,301,NEGAR_SEGUIMENTO
98,301,NEGAR_SEGUIMENTO
253,301,NEGAR_SEGUIMENTO
421,301,NEGAR_SEGUIMENTO
829,157,NEGAR_SEGUIMENTO
837,157,NEGAR_SEGUIMENTO
1454,157,NEGAR_SEGUIMENTO
1557,157,NEGAR_SEGUIMENTO
1686,157,NEGAR_SEGUIMENTO
1726,13,NEGAR_SEGUIMENTO
1877,157,NEGAR_SEGUIMENTO
1924,13,NEGAR_SEGUIMENTO
859,120,NEGAR_SEGUIMENTO
618,271,NEGAR_SEGUIMENTO
620,271,NEGAR_SEGUIMENTO
73,120,NEGAR_SEGUIMENTO
174,120,NEGAR_SEGUIMENTO
1091,120,NEGAR_SEGUIMENTO
1279,120,NEGAR_SEGUIMENTO
1358,120,NEGAR_SEGUIMENTO
626,164,NEGAR_SEGUIMENTO
1196,164,NEGAR_SEGUIMENTO
58,164,NEGAR_SEGUIMENTO
130,164,NEGAR_SEGUIMENTO
751,164,NEGAR_SEGUIMENTO
621,164,NEGAR_SEGUIMENTO
1197,164,NEGAR_SEGUIMENTO
1364,164,NEGAR_SEGUIMENTO
1917,164,NEGAR_SEGUIMENTO
1763,164,NEGAR_SEGUIMENTO
1764,164,NEGAR_SEGUIMENTO
46,257,NEGAR_SEGUIMENTO
354,313,NEGAR_SEGUIMENTO
373,271,NEGAR_SEGUIMENTO
375,313,NEGAR_SEGUIMENTO
1676,313,NEGAR_SEGUIMENTO
934,131,NEGAR_SEGUIMENTO
1738,313,NEGAR_SEGUIMENTO
1986,313,NEGAR_SEGUIMENTO
1767,312,NEGAR_SEGUIMENTO
