decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
TRF2-LIVE-1,Apelação Cível,COLEGIADO,"DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. APOSENTADORIA POR IDADE RURAL. SEGURADO ESPECIAL. RECURSO DESPROVIDO. I. Caso em exame 1. Apelação cível interposta pelo INSS contra sentença que concedeu aposentadoria por idade rural a segurado especial, reconhecendo o exercício de atividade campesina no período de carência anterior ao requerimento administrativo. II. Questão em discussão 2. A questão em discussão consiste em",2ª TURMA ESPECIALIZADA,,,20/02/2026,5000632-45.2025.4.02.9999,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50006324520254029999
TRF2-LIVE-2,Apelação Cível,COLEGIADO,DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. APOSENTADORIA POR IDADE RURAL. REGIME DE ECONOMIA FAMILIAR. INÍCIO DE PROVA MATERIAL CORROBORADO POR PROVA TESTEMUNHAL. EXERCÍCIO DE ATIVIDADE URBANA DE FORMA DESCONTÍNUA. EFEITOS FINANCEIROS. FIXAÇÃO A PARTIR DA CITAÇÃO. RECURSO PARCIALMENTE PROVIDO. I. CASO EM EXAME 1. Apelação cível interposta pelo INSS contra sentença que julgou procedente pedido de concessão de aposentador,10ª TURMA ESPECIALIZADA,ALFREDO HILARIO DE SOUZA,,23/06/2025,5002089-88.2023.4.02.5115,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50020898820234025115
TRF2-LIVE-3,Apelação Cível,COLEGIADO,"DIREITO PREVIDENCIÁRIO . APELAÇÃO CÍVEL. RECONHECIMENTO DE LABOR ESPECIAL. AUSÊNCIA DE RESPONSÁVEL TÉCNICO NO PPP. RECURSO NÃO PROVIDO. I. Caso em exame 1. Apelação cível interposta pelo INSS contra sentença que julgou procedente o pedido de reconhecimento de tempo especial, com a consequente concessão de aposentadoria por tempo de contribuição. II. Questão em discussão 2. A questão em discussão consiste em saber se ",2ª TURMA ESPECIALIZADA,ALFREDO HILARIO DE SOUZA RELATOR PARA ACÓRDÃO MARCELLO FERREIRA DE SOUZA GRANADO,,27/05/2026,5077420-21.2023.4.02.5101,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50774202120234025101
TRF2-LIVE-4,Apelação Cível,COLEGIADO,"DIREITO PREVIDENCIÁRIO . EMBARGOS DE DECLARAÇÃO. RECONHECIMENTO DE TEMPO ESPECIAL. OMISSÃO E CONTRADIÇÃO. EMBARGOS REJEITADOS. I. CASO EM EXAME: 1. Embargos de declaração opostos pelo INSS contra acórdão que reconheceu e averbou como tempo especial o período de 12/06/2006 a 30/11/2014, com sua conversão em tempo comum, concedendo aposentadoria por tempo de contribuição e determinando o pagamento de parcelas atrasadas",2ª TURMA ESPECIALIZADA,ALFREDO HILARIO DE SOUZA,,25/05/2026,5021400-80.2023.4.02.5110,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50214008020234025110
TRF2-LIVE-5,Apelação Cível,COLEGIADO,"DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. REVISÃO DE BENEFÍCIO. AVERBAÇÃO DE TEMPO DE CONTRIBUIÇÃO. EXCLUSÃO DE FATOR PREVIDENCIÁRIO. RECURSO DESPROVIDO. I. CASO EM EXAME: 1. Apelação interposta pelo INSS contra sentença que julgou procedente o pedido de revisão da RMI de aposentadoria, para considerar o período de 05/11/1999 a 21/06/2002 como tempo de contribuição, retificar salários de contribuição e excluir o fator ",2ª TURMA ESPECIALIZADA,ALFREDO HILARIO DE SOUZA,,25/05/2026,5005267-78.2023.4.02.5104,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50052677820234025104
TRF2-LIVE-6,Apelação Cível,COLEGIADO,"DIREITO PREVIDENCIÁRIO . APELAÇÃO CÍVEL. REVISÃO DE APOSENTADORIA POR TEMPO DE CONTRIBUIÇÃO. TEMPO ESPECIAL. RUÍDO E AGENTES QUÍMICOS. PROVIMENTO PARCIAL. I. CASO EM EXAME 1. Apelação cível interposta contra sentença que julgou improcedente o pedido de revisão de aposentadoria por tempo de contribuição, visando o reconhecimento de períodos laborados sob condições especiais por exposição a ruído, benzeno e hidrocarbon",2ª TURMA ESPECIALIZADA,ROBERTO DANTES SCHUMAN DE PAULA RELATOR PARA ACÓRDÃO ALFREDO HILARIO DE SOUZA,,27/05/2026,5043111-76.2020.4.02.5101,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50431117620204025101
TRF2-LIVE-7,Apelação Cível,COLEGIADO,DIREITO PREVIDENCIÁRIO. APELAÇÃO. APOSENTADORIA POR IDADE RURAL. SEGURADO ESPECIAL. CONCOMITÂNCIA COM APOSENTADORIA POR INVALIDEZ . POSSIBILIDADE DE CONCESSÃO CONDICIONADA À OPÇÃO PELO BENEFÍCIO MAIS VANTAJOSO. VEDAÇÃO DE CUMULAÇÃO. COMPENSAÇÃO DE VALORES. RECURSO PARCIALMENTE PROVIDO. CASO EM EXAME Apelação interposta pelo INSS contra sentença que julgou procedente o pedido para conceder aposentadoria por idade rura,2ª TURMA ESPECIALIZADA,FLAVIO OLIVEIRA LUCAS,,25/05/2026,5001408-79.2024.4.02.9999,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50014087920244029999
TRF2-LIVE-8,Apelação Cível,COLEGIADO,"DIREITO PREVIDENCIÁRIO E PROCESSUAL CIVIL. APELAÇÃO CÍVEL. APOSENTADORIA POR TEMPO DE CONTRIBUIÇÃO. RECURSO DESPROVIDO. I. Caso em exame Apelação cível interposta em face de sentença que julgou improcedente o pedido de concessão de aposentadoria por tempo de contribuição, fundamentado na regra de transição do pedágio de 100% prevista na Emenda Constitucional nº 103/2019, mediante reconhecimento de tempo especial, aju",2ª TURMA ESPECIALIZADA,FLAVIO OLIVEIRA LUCAS,,25/05/2026,5016185-53.2023.4.02.5101,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50161855320234025101
TRF2-LIVE-9,Apelação Cível,COLEGIADO,"DIREITO ADMINISTRATIVO E PROCESSUAL CIVIL. SERVIDOR PÚBLICO. CONVERSÃO DE TEMPO ESPECIAL EM COMUM. AUSÊNCIA DE PRÉVIO REQUERIMENTO ADMINISTRATIVO. RESISTÊNCIA DA ADMINISTRAÇÃO PÚBLICA. INTERESSE DE AGIR. PRESENÇA. SENTENÇA ANULADA. RECURSO PROVIDO. I. CASO EM EXAME 1. Trata-se de apelação cível interposta contra sentença que julgou extinto o feito sem resolução do mérito, com base na ausência de interesse de agir, em",6ª TURMA ESPECIALIZADA,GUILHERME CALMON NOGUEIRA DA GAMA,,03/06/2026,5089031-34.2024.4.02.5101,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50890313420244025101
TRF2-LIVE-10,Agravo de Instrumento,COLEGIADO,PROCESSUAL CIVIL. TRIBUTÁRIO. AGRAVO DE INSTRUMENTO. EXCEÇÃO DE PRÉ-EXECUTIVIDADE. EXECUÇÃO FISCAL. GRATUIDADE DE JUSTIÇA. PESSOA JURÍDICA. SÚMULA 481 DO STJ. AUSÊNCIA DE COMPROVAÇÃO DA HIPOSSUFICIÊNCIA FINANCEIRA. NOMEAÇÃO BENS MÓVEIS. RECUSA. POSSIBILIDADE. CDA. LEGITIMIDADE DA COBRANÇA DO ENCARGO DE 20% (VINTE POR CENTO) PREVISTO NO DL Nº 1.025/1969. CRÉDITO NÃO TRIBUTÁRIO DIRIGIDO À COBERTURA DAS DESPESAS RELACIO,3ª TURMA ESPECIALIZADA,,,20/05/2026,5001341-70.2026.4.02.0000,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50013417020264020000
