decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
1,MANDADO DE SEGURANÇA TR CÍVEL,Julgamento Principal,"Indenização por dano moral, Responsabilidade civil, DIREITO CIVIL",JEF Recurso Cível,ALESSANDRA BELFORT BUENO,10/03/2025,12/03/2025,5021277-41.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\1.pdf
2,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"IRPF/Imposto de Renda de Pessoa Física, Impostos, DIREITO TRIBUTÁRIO, Isenção, Limitações ao Poder de Tributar, DIREITO TRIBUTÁRIO, Incidência sobre Aposentadoria, IRPF/Imposto de Renda de Pessoa Física, Impostos, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,06/03/2025,18/03/2025,5020184-43.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\2.pdf
3,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Servidores Inativos, Contribuições Previdenciárias, Contribuições, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,CYNTIA LEITE MARQUES,28/02/2025,25/03/2025,5019643-10.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\3.pdf
4,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"CND/Certidão Negativa de Débito, Crédito Tributário, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,CYNTIA LEITE MARQUES,28/02/2025,11/03/2025,5019552-17.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\4.pdf
5,RECURSO CÍVEL,Julgamento Principal,"Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,26/02/2025,25/03/2025,5018960-70.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\5.pdf
6,CONFLITO DE COMPETÊNCIA,Julgamento Principal,"Assistência Social, Garantias Constitucionais, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Bolsa Família (Lei 14.601/2023), DIREITO ASSISTENCIAL",JEF Recurso Cível,ADRIANA MENEZES DE REZENDE,25/02/2025,12/03/2025,5018130-07.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\6.pdf
7,MANDADO DE SEGURANÇA TR CÍVEL,Julgamento Principal,"Gratificação de incentivo, Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,CYNTIA LEITE MARQUES,24/02/2025,18/03/2025,5017817-46.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\7.pdf
8,MANDADO DE SEGURANÇA TR CÍVEL,Julgamento Principal,"Graduação (Bacharelado, Licenciatura, Profissional Tecnológica), EDUCAÇÃO SUPERIOR, DIREITO À EDUCAÇÃO",JEF Recurso Cível,CASSIO MURILO MONTEIRO GRANZINOLI,24/02/2025,25/03/2025,5017606-10.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\8.pdf
9,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Fornecimento de medicamentos, Pública, DIREITO DA SAÚDE",JEF Recurso Cível,CASSIO MURILO MONTEIRO GRANZINOLI,21/02/2025,25/03/2025,5017163-59.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\9.pdf
10,MANDADO DE SEGURANÇA TR CÍVEL,Julgamento Principal,"Descontos Indevidos, Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,CYNTIA LEITE MARQUES,21/02/2025,25/02/2025,5017131-54.2025.4.02.5101,outputs\runs\run-20260614T160130721377Z\data\decisions\10.pdf
