ID DECISÃO TRF2,NUMERO PROCESSO,TEMA TNU,CONSONÂNCIA OU DISSONÂNCIA
TRF2-LIVE-2,5004980-27.2023.4.02.5004,9,DISSONANCIA
TRF2-LIVE-1,5001297-51.2024.4.02.5002,9,DISSONANCIA
TRF2-LIVE-3,5036398-55.2024.4.02.5001,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-4,5002738-33.2025.4.02.5002,9,DISSONANCIA
TRF2-LIVE-5,5002000-48.2025.4.02.5001,9,DISSONANCIA
TRF2-LIVE-6,5006121-07.2025.4.02.5006,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-7,5031804-32.2023.4.02.5001,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-8,5000056-47.2021.4.02.5002,9,DISSONANCIA
TRF2-LIVE-9,5001404-55.2025.4.02.5004,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-10,5000554-07.2025.4.02.5002,NENHUM_TEMA,NAO_APLICAVEL
