decisionId,temaTnu,consonancia,validade,justificativa
TRF2-LIVE-1,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O processo trata de Pensão por Morte, mas não aborda nenhuma das questões específicas delimitadas nos temas da TNU fornecidos (como rateio entre viúva e concubina ou prorrogação para estudantes). | Resultado reutilizado do cache Gemini."
TRF2-LIVE-2,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"O processo informado não possui dados suficientes (assuntos, classe ou conteúdo) para vinculação a qualquer tema da TNU, além de apresentar data de julgamento futura (23/04/2026)."
TRF2-LIVE-3,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém informações sobre o mérito, assuntos ou fundamentação jurídica, impossibilitando a classificação em qualquer um dos temas da TNU listados."
TRF2-LIVE-4,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém informações sobre o mérito, assuntos ou fundamentação jurídica, impossibilitando a classificação em qualquer dos temas da TNU listados."
TRF2-LIVE-5,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"Os dados fornecidos na decisão (assuntos, classe, data de autuação) estão marcados como 'NAO_INFORMADO', impossibilitando a classificação em qualquer tema da TNU."
TRF2-LIVE-6,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"Os dados fornecidos na decisao estao incompletos (campos 'classe', 'assuntos' e 'dataAutuacao' estao vazios ou marcados como 'NAO_INFORMADO'), impossibilitando a identificacao de qualquer tema da TNU aplicavel ao caso."
TRF2-LIVE-7,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"Os dados fornecidos na decisão judicial não contêm informações sobre o assunto ou o mérito do julgamento, impossibilitando a classificação em qualquer um dos temas da TNU listados."
TRF2-LIVE-8,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém informações sobre o mérito, assuntos ou fundamentação jurídica, impossibilitando a classificação em qualquer dos temas da TNU listados."
TRF2-LIVE-9,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém informações sobre o mérito, assuntos ou fundamentação jurídica, impossibilitando a classificação em qualquer tema da TNU."
TRF2-LIVE-10,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisao fornecida nao contem informacoes sobre o assunto ou o teor do julgamento, impossibilitando a classificacao em qualquer tema da TNU."
TRF2-LIVE-11,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"O processo informado nao contem informacoes sobre o assunto ou o teor da decisao, impossibilitando a classificacao em qualquer dos temas da TNU listados."
TRF2-LIVE-12,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisao fornecida nao contem informacoes sobre o merito, assuntos ou fundamentacao juridica, impossibilitando a classificacao em qualquer tema da TNU."
TRF2-LIVE-13,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,O processo informado (5010446-71.2024.4.02.5002) não possui informações suficientes sobre o objeto da lide ou o conteúdo da decisão para permitir o enquadramento em qualquer dos temas da TNU listados.
TRF2-LIVE-14,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisao fornecida nao contem informacoes sobre o objeto do julgamento, assuntos ou fundamentacao, impossibilitando a classificacao em qualquer dos temas da TNU listados."
TRF2-LIVE-15,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém informações sobre o conteúdo, classe, assuntos ou fundamentação, impossibilitando a classificação em qualquer dos temas da TNU listados."
TRF2-LIVE-16,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisao fornecida nao contem informacoes sobre o objeto do julgamento, assuntos ou fundamentacao, impossibilitando a classificacao em qualquer dos temas da TNU listados."
TRF2-LIVE-17,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"Os dados fornecidos na decisao (numero do processo, relator, data) nao permitem identificar o objeto do julgamento ou os assuntos tratados, impossibilitando o enquadramento em qualquer dos temas da TNU listados."
TRF2-LIVE-18,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"O processo informado não contém informações sobre o assunto ou classe processual, impossibilitando a classificação em qualquer dos temas da TNU listados."
TRF2-LIVE-19,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"Os dados fornecidos na decisão judicial (assuntos, classe, etc.) estão marcados como 'NAO_INFORMADO', impossibilitando a identificação de qualquer conexão com os temas da TNU listados."
TRF2-LIVE-20,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"Os dados fornecidos na decisao estao incompletos (campos classe, assuntos e dataAutuacao estao vazios ou nao informados), impossibilitando a identificacao do objeto do julgamento e a classificacao em qualquer tema da TNU."
