decisionId,temaTnu,consonancia,validade,justificativa
TRF2-LIVE-1,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial apresentada refere-se a um processo de aposentadoria por invalidez e rural, mas não há elementos suficientes no resumo fornecido para vincular o julgamento a uma tese específica dos temas da TNU listados, tratando-se de uma decisão de natureza processual ou de mérito genérico sem tese vinculante identificada."
TRF2-LIVE-2,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"O processo informado (5006229-17.2026.4.02.5001) possui data de julgamento futura (20/05/2026), o que torna impossível a análise de mérito ou a classificação em qualquer tema da TNU, além de indicar um erro na base de dados ou na consulta."
TRF2-LIVE-3,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida (TRF2-LIVE-3) não contém informações sobre o mérito, fundamentação ou dispositivo, impossibilitando a classificação em qualquer um dos temas da TNU listados."
TRF2-LIVE-4,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, fundamentos ou dispositivo, impossibilitando a classificação em qualquer dos temas da TNU listados."
TRF2-LIVE-5,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém informações sobre o mérito, fundamentação ou dispositivo, impossibilitando a classificação em qualquer tema da TNU."
TRF2-LIVE-6,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém o conteúdo do julgado (inteiro teor ou ementa), apenas metadados processuais, impossibilitando a classificação em qualquer tema da TNU."
TRF2-LIVE-7,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o objeto do julgamento, assuntos ou fundamentação, impossibilitando a vinculação a qualquer um dos temas da TNU listados."
TRF2-LIVE-8,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida (TRF2-LIVE-8) não contém informações sobre o objeto do litígio, os fundamentos jurídicos ou o dispositivo, impossibilitando a classificação em qualquer um dos temas da TNU listados."
TRF2-LIVE-9,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, o assunto ou o conteúdo do julgamento, impossibilitando a classificação em qualquer um dos temas da TNU listados."
TRF2-LIVE-10,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão informada não contém dados suficientes (assuntos, classe, inteiro teor) para permitir a classificação em qualquer um dos temas da TNU listados."
TRF2-LIVE-11,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o objeto do julgamento, os assuntos tratados ou o teor da decisão, impossibilitando a vinculação a qualquer um dos temas da TNU listados."
TRF2-LIVE-12,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisao judicial fornecida nao possui informacoes sobre o objeto do julgamento (assuntos, classe, inteiro teor), impossibilitando a vinculacao a qualquer um dos temas da TNU listados."
TRF2-LIVE-13,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisao judicial fornecida nao contem informacoes sobre o merito, fundamentos ou o dispositivo da sentenca, impossibilitando a classificacao em qualquer um dos temas da TNU listados."
TRF2-LIVE-14,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O processo informado (5008397-45.2024.4.02.5006) não possui dados suficientes ou vinculação direta com as teses listadas, sendo classificado como NENHUM_TEMA."
TRF2-LIVE-15,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém informações sobre o assunto, classe ou conteúdo do julgamento (campos 'NAO_INFORMADO'), impossibilitando a classificação em qualquer tema da TNU."
TRF2-LIVE-16,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisao judicial fornecida (TRF2-LIVE-16) nao contem informacoes sobre o merito, assuntos ou fundamentacao juridica que permitam a classificacao em qualquer um dos temas da TNU listados."
TRF2-LIVE-17,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, o assunto ou o conteúdo do julgamento (campos 'classe' e 'assuntos' estão como 'NAO_INFORMADO'), impossibilitando a vinculação a qualquer um dos temas da TNU listados."
TRF2-LIVE-18,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, o assunto ou o conteúdo do julgamento, impossibilitando a classificação em qualquer um dos temas da TNU listados."
TRF2-LIVE-19,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, o assunto ou o conteúdo do julgamento, impossibilitando a classificação em qualquer um dos temas da TNU listados."
TRF2-LIVE-20,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,A decisão judicial fornecida não apresenta elementos suficientes (assuntos ou relatório) para vinculação a qualquer um dos temas da TNU listados.
