decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
TRF2-LIVE-1,MANDADO DE SEGURANÇA TR CÍVEL,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,,20/05/2026,5006229-17.2026.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50062291720264025001
TRF2-LIVE-2,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,PABLO COELHO CHARLES GOMES,,20/05/2026,5001297-51.2024.4.02.5002,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50012975120244025002
TRF2-LIVE-3,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,2ª Turma Recursal do Espírito Santo,FRANCISCO DE ASSIS BASILIO DE MORAES,,30/04/2026,5000985-66.2024.4.02.5005,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50009856620244025005
TRF2-LIVE-4,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,2ª Turma Recursal do Espírito Santo,FRANCISCO DE ASSIS BASILIO DE MORAES,,30/04/2026,5036398-55.2024.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50363985520244025001
TRF2-LIVE-5,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,2ª Turma Recursal do Espírito Santo,FRANCISCO DE ASSIS BASILIO DE MORAES,,30/04/2026,5002738-33.2025.4.02.5002,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50027383320254025002
TRF2-LIVE-6,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,PABLO COELHO CHARLES GOMES,,20/05/2026,5006121-07.2025.4.02.5006,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50061210720254025006
TRF2-LIVE-7,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,PABLO COELHO CHARLES GOMES,,23/04/2026,5002000-48.2025.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50020004820254025001
TRF2-LIVE-8,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,2ª Turma Recursal do Espírito Santo,,,26/02/2026,5042404-78.2024.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50424047820244025001
TRF2-LIVE-9,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,2ª Turma Recursal do Espírito Santo,FRANCISCO DE ASSIS BASILIO DE MORAES,,30/04/2026,5000056-47.2021.4.02.5002,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50000564720214025002
TRF2-LIVE-10,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,PABLO COELHO CHARLES GOMES,,20/05/2026,5002566-79.2025.4.02.5006,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50025667920254025006
