temaNumero,situacaoTema,ramoDireito,questaoSubmetidaJulgamento,teseFirmada,numeroProcesso,dataDecisaoAfetacao,relator,dataJulgamento,dataPublicacaoAcordao,transitoJulgado,pdfPath
1,Julgado,DIREITO PREVIDENCIÁRIO,"Saber qual a forma de cálculo da aposentadoria por invalidez, do auxílio-doença e pensões derivadas, em momento antecedente à edição da Lei n. 9.876/99.","O valor da aposentadoria por invalidez e do auxílio-doença, bem como das pensões destes derivados ou calculadas com base no art. 75, da Lei n. 8.213/91, será obtido, na forma do art. 29, II, do mesmo diploma, por meio da média aritmética simples dos 80% maiores salários de contribuição, considerado todo o período contributivo, independentemente do momento de inscrição do segurado e do número de contribuições mensais do período contributivo.",PEDILEF 2009.51.51.066212-3/ RJ,10/06/2011,Juiz Federal Vladimir Santos Vitovsky,02/08/2011,16/09/2011,05/10/2011,outputs\runs\run-20260614T135519671765Z\data\themes\tema-1.pdf
2,Julgado,DIREITO PREVIDENCIÁRIO,Saber se certidão de casamento extemporânea serve como início de prova material para fins de concessão de aposentadoria por idade rural.,"No caso de aposentadoria por idade rural, a certidão de casamento vale como início de prova material, ainda que extemporânea.",PEDILEF 2006.82.01.505208-4/ PB,04/03/2010,Juiz Federal Paulo Ricardo Arena Filho,06/09/2011,30/09/2011,18/10/2011,outputs\runs\run-20260614T135519671765Z\data\themes\tema-2.pdf
3,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se a prova material extemporânea, devidamente corroborada por prova oral idônea, é hábil à concessão do benefício de aposentadoria por idade rural.","No caso de aposentadoria por idade rural, é dispensável a existência de prova documental contemporânea, podendo ser estendida a outros períodos através de robusta prova testemunhal.",PEDILEF 2005.81.10.001065-3/ CE,06/11/2009,Juíza Federal Simone dos Santos Lemos Fernandes,06/09/2011,04/10/2011,20/10/2011,outputs\runs\run-20260614T135519671765Z\data\themes\tema-3.pdf
4,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se é necessário prévio pedido de prorrogação de benefício de auxílio-doença nas hipóteses conhecidas por ""alta programada"".","É devido o restabelecimento do auxílio-doença nas hipóteses conhecidas por “alta programada”, independentemente de prévio pedido administrativo de prorrogação. VIDE TEMA 164/TNU",PEDILEF 2007.70.50.016551-5/ PR,08/03/2010,Juíza Federal Simone dos Santos Lemos Fernandes,06/09/2011,04/10/2011,17/08/2012,outputs\runs\run-20260614T135519671765Z\data\themes\tema-4.pdf
5,Revisado pelo Tema 145,DIREITO PREVIDENCIÁRIO,Saber se para obtenção da aposentadoria por idade de segurado especial é necessário demonstrar atividade rural no período imediatamente anterior ao atingimento da idade mínima ou à apresentação do requerimento administrativo.,"Para a obtenção de aposentadoria por idade rural, é indispensável o exercício e a demonstração da atividade campesina correspondente à carência no período imediatamente anterior ao atingimento da idade mínima ou ao requerimento administrativo (TESE FIRMADA NO TEMA 145).",PEDILEF 2006.71.95.01 8143-8/ RS,05/08/2010,Juiz Federal Gláucio Ferreira Maciel Gonçalves,12/12/2013,17/01/2014 04/10/2011,07/02/2014,outputs\runs\run-20260614T135519671765Z\data\themes\tema-5.pdf
6,Julgado,DIREITO TRIBUTÁRIO,Saber se o FUSEX é tributo e qual a modalidade de lançamento para fins de contagem do prazo prescricional. VIDE TEMA 356/STJ,"A contribuição ao FUSEX é tributo cujo lançamento se efetua de ofício, sujeita ao prazo prescricional quinquenal, descrito no art. 168, I, do CTN.",PEDILEF 2005.71.52.00 3235-6/ RS,25/04/2011,Juíza Federal Simone dos Santos Lemos Fernandes,06/09/2011,07/10/2011,25/10/2011,outputs\runs\run-20260614T135519671765Z\data\themes\tema-6.pdf
7,Julgado,DIREITO PREVIDENCIÁRIO,Saber se o filho maior de 21 anos que esteja cursando ensino superior tem direito à prorrogação de pensão por morte até os 24 anos.,"É indevida a prorrogação da pensão por morte ao filho maior de 21 anos, ainda que esteja cursando o ensino superior.",PEDILEF 2005.63.11.006938-1/ SP,06/09/2011,Juíza Federal Simone dos Santos Lemos Fernandes,06/09/2011,07/10/2011,25/10/2011,outputs\runs\run-20260614T135519671765Z\data\themes\tema-7.pdf
8,Julgado,DIREITO CIVIL,Saber qual o termo inicial dos juros de mora em caso de danos morais por responsabilidade civil extracontratual.,"Os juros de mora, no caso de responsabilidade extracontratual, fluem a partir do evento danoso.",PEDILEF 2004.32.00.711706-3/ AM,26/02/2009,Juiz Federal Paulo Ricardo Arena Filho,06/09/2011,14/10/2011,02/08/2021 (baixa definitiva),outputs\runs\run-20260614T135519671765Z\data\themes\tema-8.pdf
9,Julgado,DIREITO ADMINISTRATIVO,"Saber se os Decretos n. 5.554/2005, 5.992/2006 e 6.258/2007 reajustaram o valor das diárias dos servidores da FUNASA.","Os Decretos n. 5.554/2005, 5.992/2006 e 6.258/2007, não reajustaram o valor das diárias dos servidores da FUNASA, apenas ampliaram o rol dos destinos a serem percorridos. Vide Tema 92 - questão similar.",PEDILEF 0027714-87.2007.4.01.3600/ MT,06/09/2011,Juiz Federal Alcides Saldanha Lima,06/09/2011,21/10/2011,04/03/2013,outputs\runs\run-20260614T135519671765Z\data\themes\tema-9.pdf
10,Julgado - TEMA 350/STF,DIREITO PREVIDENCIÁRIO,Saber se há necessidade de renovação do requerimento administrativo para concessão de benefício assistencial.,"O ajuizamento de ações visando o recebimento do benefício previsto no art. 203, V, da Constituição Federal não exige a renovação bienal do requerimento administrativo, afastada a indevida analogia ao art. 21, da Lei n. 8.742/93. RE 914797 - DECISÃO STF: determino a devolução dos autos ao Juízo de origem para que seja observada a decisão do Supremo no precedente RE 631.240 - TEMA 350.",PEDILEF 0504108- 62.2009.4.05.8200/ PB,06/05/2011,Juiz Federal Paulo Ricardo Arena Filho,02/08/2011,21/10/2011,12/09/2018,outputs\runs\run-20260614T135519671765Z\data\themes\tema-10.pdf
