decisionId,temaTnu,consonancia,validade,justificativa
TRF2-LIVE-1,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de um recurso cível sobre aposentadoria por invalidez, mas não aborda especificamente nenhuma das teses firmadas nos temas da TNU listados, tratando-se de um caso genérico de benefício por incapacidade sem a necessidade de aplicação de tese vinculante específica. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-2,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"O processo informado (5006229-17.2026.4.02.5001) possui data de julgamento futura (20/05/2026), o que torna impossível a análise de mérito ou a classificação em qualquer tema da TNU, além de indicar um erro na base de dados ou na consulta."
TRF2-LIVE-3,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial refere-se a uma Apelação Criminal, matéria que não se enquadra na competência previdenciária ou administrativa da TNU, não havendo correspondência com nenhum dos temas listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-4,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, fundamentos ou dispositivo, impossibilitando a classificação em qualquer dos temas da TNU listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-5,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém informações sobre o mérito, fundamentação ou dispositivo, impossibilitando a classificação em qualquer tema da TNU."
TRF2-LIVE-6,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida (TRF2-LIVE-6) não contém informações sobre o mérito, assuntos ou fundamentação jurídica, impossibilitando a classificação em qualquer um dos temas da TNU listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-7,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O processo informado (5008397-45.2024.4.02.5006) não possui dados suficientes ou vinculação direta com as teses listadas, sendo classificado como NENHUM_TEMA. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-8,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisao judicial fornecida (TRF2-LIVE-16) nao contem informacoes sobre o merito, assuntos ou fundamentacao juridica que permitam a classificacao em qualquer um dos temas da TNU listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-9,NENHUM_TEMA,NAO_APLICAVEL,INVALIDA,"A decisão fornecida não contém informações sobre o mérito, assuntos ou fundamentação jurídica, impossibilitando a classificação em qualquer dos temas da TNU listados."
TRF2-LIVE-10,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, o assunto ou o conteúdo do julgamento (campos 'classe' e 'assuntos' estão como 'NAO_INFORMADO'), impossibilitando a vinculação a qualquer um dos temas da TNU listados."
