decisionId,temaTnu,consonancia,validade,justificativa
TRF2-LIVE-1,5,CONSONANCIA,VALIDA,"A decisão trata de aposentadoria por idade rural e a necessidade de comprovação de atividade campesina no período de carência, alinhando-se à tese firmada no Tema 5 da TNU (que remete ao Tema 145/TNU), que exige o exercício da atividade rural no período imediatamente anterior ao requerimento ou ao atingimento da idade. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-2,5,CONSONANCIA,VALIDA,"A decisão aborda a aposentadoria por idade rural e o regime de economia familiar, alinhando-se ao entendimento consolidado no Tema 5 da TNU (e Tema 145/STJ) sobre a necessidade de comprovação da atividade rural no período imediatamente anterior ao requerimento ou atingimento da idade. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-3,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O processo trata de reconhecimento de tempo especial por ausência de responsável técnico no PPP, matéria que não se enquadra nos temas da TNU listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-4,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de reconhecimento de tempo especial e concessão de aposentadoria por tempo de contribuição, matéria que não se enquadra nos temas da TNU listados, os quais versam sobre temas específicos como aposentadoria rural, pensão por morte, auxílio-doença, entre outros. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-5,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O objeto da decisão trata de revisão de benefício previdenciário com foco na averbação de tempo de contribuição e exclusão de fator previdenciário, matéria que não se enquadra nos temas da TNU listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-6,14,CONSONANCIA,VALIDA,"A decisão trata de revisão de aposentadoria por tempo de contribuição com foco no reconhecimento de tempo especial por exposição a agentes nocivos (ruído e químicos), alinhando-se ao entendimento da TNU (Tema 14 e Súmula 68) de que laudos extemporâneos possuem força probatória se as condições ambientais não foram alteradas. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-7,5,CONSONANCIA,VALIDA,"A decisão aborda a aposentadoria por idade rural e a necessidade de comprovação da atividade campesina, alinhando-se ao entendimento consolidado no Tema 5 da TNU (que remete ao Tema 145/TNU) sobre a indispensabilidade do exercício da atividade rural no período imediatamente anterior ao requerimento ou atingimento da idade. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-8,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O processo trata de aposentadoria por tempo de contribuição sob a regra de transição do pedágio de 100% da EC 103/2019, matéria não abrangida pelos temas da TNU listados."
TRF2-LIVE-9,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de interesse de agir em processo de servidor público federal (conversão de tempo especial em comum), matéria de competência da Justiça Federal comum e não da TNU, que julga questões previdenciárias do RGPS. Nenhum dos temas da TNU listados aborda especificamente a controvérsia sobre interesse de agir em ações de servidores públicos. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-10,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de matéria processual civil e tributária (execução fiscal, gratuidade de justiça para pessoa jurídica e encargos legais), temas que não possuem correspondência com os temas da TNU listados, os quais são predominantemente previdenciários ou administrativos de servidores públicos. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-11,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O processo trata de execução fiscal e prescrição intercorrente, matéria de competência da Justiça Federal comum (TRF), não se enquadrando nos temas da TNU, que se restringem a questões previdenciárias e assistenciais de competência dos Juizados Especiais Federais. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-12,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de matéria de Direito da Propriedade Intelectual (marcas e nome de domínio), competência da Justiça Federal comum, não se enquadrando em nenhum dos temas previdenciários ou administrativos da TNU listados."
TRF2-LIVE-13,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,A decisão trata de cerceamento de defesa por perícia realizada por médico não especialista em ação de auxílio por incapacidade temporária. Nenhum dos temas da TNU listados aborda a especialidade do perito médico ou cerceamento de defesa em perícia previdenciária.
TRF2-LIVE-14,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de aposentadoria rural por idade, abordando temas como regime de economia familiar, atividade urbana do cônjuge e dimensão da propriedade. Embora existam temas na TNU sobre prova material rural (Temas 2, 3 e 18), a decisão foca em aspectos específicos de descaracterização do regime de economia familiar por atividade urbana do cônjuge e dimensão da propriedade, não havendo tese específica na lista fornecida que aborde a controvérsia jurídica central do julgado. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-15,3,CONSONANCIA,VALIDA,"A decisão trata da comprovação de labor rural por início de prova material corroborado por prova testemunhal, o que está em perfeita consonância com a tese firmada no Tema 3 da TNU, que estabelece a possibilidade de utilização de prova testemunhal para corroborar a prova documental, inclusive dispensando a contemporaneidade estrita. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-16,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de questão processual (cerceamento de defesa por ausência de prova testemunhal em aposentadoria rural), não se enquadrando nos temas de mérito previdenciário listados, que versam sobre requisitos materiais ou cálculos de benefícios. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-17,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de interesse de agir por ausência de prévio requerimento administrativo em Mandado de Segurança para correção de CTC. Embora o Tema 350 do STF (RE 631.240) trate da necessidade de prévio requerimento administrativo, não há um tema específico da TNU na lista fornecida que aborde a exigência de requerimento administrativo para a correção de Certidão de Tempo de Contribuição (CTC)."
TRF2-LIVE-18,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de responsabilidade civil do Estado por morte em operação de segurança pública, matéria de Direito Administrativo que não se enquadra nos temas previdenciários ou administrativos específicos listados da TNU."
TRF2-LIVE-19,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de insuficiência de provas para reconhecimento de atividade especial de engenheiro, matéria que não se enquadra nos temas da TNU listados, os quais versam sobre temas previdenciários específicos como aposentadoria rural, pensão por morte, auxílio-doença, entre outros."
