ID DECISÃO TRF2,NUMERO PROCESSO,TEMA TNU,CONSONÂNCIA OU DISSONÂNCIA
17,5037189-92.2022.4.02.5001,13,CONSONANCIA
6,5018130-07.2025.4.02.5101,10,CONSONANCIA
16,5002855-07.2024.4.02.5116,13,CONSONANCIA
1,5021277-41.2025.4.02.5101,8,CONSONANCIA
2,5020184-43.2025.4.02.5101,13,CONSONANCIA
15,5015810-81.2025.4.02.5101,2,CONSONANCIA
7,5017817-46.2025.4.02.5101,16,CONSONANCIA
10,5017131-54.2025.4.02.5101,16,CONSONANCIA
13,5015837-64.2025.4.02.5101,4,CONSONANCIA
14,5015837-64.2025.4.02.5101,4,CONSONANCIA
19,5014186-94.2025.4.02.5101,4,CONSONANCIA
5,5018960-70.2025.4.02.5101,16,CONSONANCIA
18,5015036-51.2025.4.02.5101,8,CONSONANCIA
8,5017606-10.2025.4.02.5101,7,CONSONANCIA
3,5019643-10.2025.4.02.5101,1,CONSONANCIA
4,5019552-17.2025.4.02.5101,2,CONSONANCIA
11,5017048-38.2025.4.02.5101,6,CONSONANCIA
12,5016649-09.2025.4.02.5101,20,CONSONANCIA
9,5017163-59.2025.4.02.5101,20,CONSONANCIA
20,5012949-25.2025.4.02.5101,20,CONSONANCIA
