decisionId,temaTnu,consonancia,validade,justificativa
17,13,CONSONANCIA,VALIDA,Tema 13 selecionado por semelhança de assunto.
6,10,CONSONANCIA,VALIDA,Tema 10 selecionado por semelhança de assunto.
16,13,CONSONANCIA,VALIDA,Tema 13 selecionado por semelhança de assunto.
1,8,CONSONANCIA,VALIDA,Tema 8 selecionado por semelhança de assunto.
2,13,CONSONANCIA,VALIDA,Tema 13 selecionado por semelhança de assunto.
15,2,CONSONANCIA,VALIDA,Tema 2 selecionado por semelhança de assunto.
7,16,CONSONANCIA,VALIDA,Tema 16 selecionado por semelhança de assunto.
10,16,CONSONANCIA,VALIDA,Tema 16 selecionado por semelhança de assunto.
13,4,CONSONANCIA,VALIDA,Tema 4 selecionado por semelhança de assunto.
14,4,CONSONANCIA,VALIDA,Tema 4 selecionado por semelhança de assunto.
19,4,CONSONANCIA,VALIDA,Tema 4 selecionado por semelhança de assunto.
5,16,CONSONANCIA,VALIDA,Tema 16 selecionado por semelhança de assunto.
18,8,CONSONANCIA,VALIDA,Tema 8 selecionado por semelhança de assunto.
8,7,CONSONANCIA,VALIDA,Tema 7 selecionado por semelhança de assunto.
3,1,CONSONANCIA,VALIDA,Tema 1 selecionado por semelhança de assunto.
4,2,CONSONANCIA,VALIDA,Tema 2 selecionado por semelhança de assunto.
11,6,CONSONANCIA,VALIDA,Tema 6 selecionado por semelhança de assunto.
12,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhança de assunto.
9,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhança de assunto.
20,20,CONSONANCIA,VALIDA,Tema 20 selecionado por semelhança de assunto.
