temaNumero,situacaoTema,ramoDireito,questaoSubmetidaJulgamento,teseFirmada,numeroProcesso,dataDecisaoAfetacao,relator,dataJulgamento,dataPublicacaoAcordao,transitoJulgado,pdfPath
1,Julgado,DIREITO PREVIDENCIÁRIO,"Saber qual a forma de cálculo da aposentadoria por invalidez, do auxílio-doença e pensões derivadas, em momento antecedente à edição da Lei n. 9.876/99.","O valor da aposentadoria por invalidez e do auxílio-doença, bem como das pensões destes derivados ou calculadas com base no art. 75, da Lei n. 8.213/91, será obtido, na forma do art. 29, II, do mesmo diploma, por meio da média aritmética simples dos 80% maiores salários de contribuição, considerado todo o período contributivo, independentemente do momento de inscrição do segurado e do número de contribuições mensais do período contributivo.",PEDILEF 2009.51.51.066212-3/ RJ,10/06/2011,Juiz Federal Vladimir Santos Vitovsky,02/08/2011,16/09/2011,05/10/2011,outputs\runs\run-20260618T183724709450Z\data\themes\tema-1.pdf
2,Julgado,DIREITO PREVIDENCIÁRIO,Saber se certidão de casamento extemporânea serve como início de prova material para fins de concessão de aposentadoria por idade rural.,"No caso de aposentadoria por idade rural, a certidão de casamento vale como início de prova material, ainda que extemporânea.",PEDILEF 2006.82.01.505208-4/ PB,04/03/2010,Juiz Federal Paulo Ricardo Arena Filho,06/09/2011,30/09/2011,18/10/2011,https://www.cjf.jus.br/phpdoc/virtus/
3,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se a prova material extemporânea, devidamente corroborada por prova oral idônea, é hábil à concessão do benefício de aposentadoria por idade rural.","No caso de aposentadoria por idade rural, é dispensável a existência de prova documental contemporânea, podendo ser estendida a outros períodos através de robusta prova testemunhal.",PEDILEF 2005.81.10.001065-3/ CE,06/11/2009,Juíza Federal Simone dos Santos Lemos Fernandes,06/09/2011,04/10/2011,20/10/2011,https://www.cjf.jus.br/phpdoc/virtus/
4,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se é necessário prévio pedido de prorrogação de benefício de auxílio-doença nas hipóteses conhecidas por ""alta programada"".","É devido o restabelecimento do auxílio-doença nas hipóteses conhecidas por “alta programada”, independentemente de prévio pedido administrativo de prorrogação. VIDE TEMA 164/TNU",PEDILEF 2007.70.50.016551-5/ PR,08/03/2010,Juíza Federal Simone dos Santos Lemos Fernandes,06/09/2011,04/10/2011,17/08/2012,https://www2.jf.jus.br/phpdoc/virtus/uploads/vAZLdwDA.pdf
5,Revisado pelo Tema 145,DIREITO PREVIDENCIÁRIO,Saber se para obtenção da aposentadoria por idade de segurado especial é necessário demonstrar atividade rural no período imediatamente anterior ao atingimento da idade mínima ou à apresentação do requerimento administrativo.,"Para a obtenção de aposentadoria por idade rural, é indispensável o exercício e a demonstração da atividade campesina correspondente à carência no período imediatamente anterior ao atingimento da idade mínima ou ao requerimento administrativo (TESE FIRMADA NO TEMA 145).",PEDILEF 2006.71.95.01 8143-8/ RS,05/08/2010,Juiz Federal Gláucio Ferreira Maciel Gonçalves,12/12/2013,17/01/2014 04/10/2011,07/02/2014,https://www2.jf.jus.br/phpdoc/virtus/mostradocumento.php?Process=200671950181438&seq=3
6,Julgado,DIREITO TRIBUTÁRIO,Saber se o FUSEX é tributo e qual a modalidade de lançamento para fins de contagem do prazo prescricional. VIDE TEMA 356/STJ,"A contribuição ao FUSEX é tributo cujo lançamento se efetua de ofício, sujeita ao prazo prescricional quinquenal, descrito no art. 168, I, do CTN.",PEDILEF 2005.71.52.00 3235-6/ RS,25/04/2011,Juíza Federal Simone dos Santos Lemos Fernandes,06/09/2011,07/10/2011,25/10/2011,https://www.cjf.jus.br/phpdoc/virtus/
7,Julgado,DIREITO PREVIDENCIÁRIO,Saber se o filho maior de 21 anos que esteja cursando ensino superior tem direito à prorrogação de pensão por morte até os 24 anos.,"É indevida a prorrogação da pensão por morte ao filho maior de 21 anos, ainda que esteja cursando o ensino superior.",PEDILEF 2005.63.11.006938-1/ SP,06/09/2011,Juíza Federal Simone dos Santos Lemos Fernandes,06/09/2011,07/10/2011,25/10/2011,https://www2.jf.jus.br/phpdoc/virtus/mostra_inteiro_teor.php?num=200563110069381060911
8,Julgado,DIREITO CIVIL,Saber qual o termo inicial dos juros de mora em caso de danos morais por responsabilidade civil extracontratual.,"Os juros de mora, no caso de responsabilidade extracontratual, fluem a partir do evento danoso.",Processo,Decisão de afetação,Relator (a),Julgado em,Acórdão publicado em,Trânsito em julgado,
9,Julgado,DIREITO ADMINISTRATIVO,"Saber se os Decretos n. 5.554/2005, 5.992/2006 e 6.258/2007 reajustaram o valor das diárias dos servidores da FUNASA.","Os Decretos n. 5.554/2005, 5.992/2006 e 6.258/2007, não reajustaram o valor das diárias dos servidores da FUNASA, apenas ampliaram o rol dos destinos a serem percorridos. Vide Tema 92 - questão similar.",PEDILEF 0027714-87.2007.4.01.3600/ MT,06/09/2011,Juiz Federal Alcides Saldanha Lima,06/09/2011,21/10/2011,04/03/2013,https://www2.jf.jus.br/phpdoc/virtus/mostra_inteiro_teor.php?num=00277148720074013600060911
10,Julgado - TEMA 350/STF,DIREITO PREVIDENCIÁRIO,Saber se há necessidade de renovação do requerimento administrativo para concessão de benefício assistencial.,"O ajuizamento de ações visando o recebimento do benefício previsto no art. 203, V, da Constituição Federal não exige a renovação bienal do requerimento administrativo, afastada a indevida analogia ao art. 21, da Lei n. 8.742/93. RE 914797 - DECISÃO STF: determino a devolução dos autos ao Juízo de origem para que seja observada a decisão do Supremo no precedente RE 631.240 - TEMA 350.",PEDILEF 0504108- 62.2009.4.05.8200/ PB,06/05/2011,Juiz Federal Paulo Ricardo Arena Filho,02/08/2011,21/10/2011,12/09/2018,https://www.cjf.jus.br/phpdoc/virtus/
11,Julgado,DIREITO PREVIDENCIÁRIO,Saber se é necessário início de prova material no período de carência em salário-maternidade de segurada especial.,A exigência de início de prova material contemporânea para concessão do salário-maternidade à segurada especial pode ser flexibilizada. Vide Tema 17.,PEDILEF 2009.32.00.704394-5/ AM,11/10/2011,Juiz Federal Paulo Ricardo Arena Filho,11/10/2011,28/10/2011,18/11/2011,https://www2.jf.jus.br/phpdoc/virtus/mostra_inteiro_teor.php?num=200932007043945111011
12,Revisado - Tema 216/TNU,DIREITO PREVIDENCIÁRIO,Saber se pagamento de remuneração indireta a aluno aprendiz autoriza respectiva contagem de tempo de serviço para fins previdenciários.,"Para fins previdenciários, o cômputo do tempo de serviço prestado como aluno-aprendiz exige a comprovação de que, durante o período de aprendizado, houve simultaneamente: (i) retribuição consubstanciada em prestação pecuniária ou em auxílios materiais; (ii) à conta do Orçamento; (iii) a título de contraprestação por labor; (iv) na execução de bens e serviços destinados a terceiros. (Tese firmada no Tema 216/TNU). Vide Súmula 18 da TNU.",Processo,Decisão de afetação,Relator (a),Julgado em,Acórdão publicado em,Trânsito em julgado,
13,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se o pedido de revisão de benefício de aposentadoria por tempo de contribuição para fins de reconhecimento de tempo especial por categoria profissional depende de prévio requerimento administrativo quando o INSS, apesar de ciente dos elementos necessários, não se pronunciou sobre a especialidade de período anterior à Lei n. 9.032/95.",É dispensável prévio requerimento administrativo de revisão de aposentadoria por tempo de contribuição quando houver omissão da autarquia na análise do tempo especial anterior à Lei n. 9.032/95.,PEDILEF 2009.72.51.000312-4/ SC,15/04/2010,Juíza Federal Simone dos Santos Lemos Fernandes,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
14,Julgado,DIREITO PREVIDENCIÁRIO,Saber se laudo pericial extemporâneo afasta força probatória das condições especiais de trabalho.,"Na aposentadoria especial a apresentação de laudo pericial extemporâneo não afasta sua força probante, desde que não modificadas as condições do ambiente. Vide Súmula 68 da TNU.",PEDILEF 2008.72.59.003073-0/ SC,14/04/2010,Juíza Federal Vanessa Vieira de Mello,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
15,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se pode haver rateio de pensão entre esposa e concubina, no regime de concubinato impuro.","A pensão por morte não deve ser rateada entre a viúva e a concubina, pois a relação extraconjugal paralela ao casamento não configura união estável. Tese no mesmo sentido da firmada no Tema 526/STF.",PEDILEF 2008.72.95.001366-8/ SC,01/12/2009,Juíza Federal Simone dos Santos Lemos Fernandes,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
16,Julgado,DIREITO ADMINISTRATIVO,Saber qual o termo inicial da progressão funcional de policial federal.,A eficácia da progressão funcional deve ser observada segundo a situação individual de cada servidor e seus efeitos retroagem ao momento em que os requisitos legais foram implementados. Vide Tema 82 e PEDILEF n. 500367784.2014.404.7101. Entendimento revisado pelo PEDILEF n. 05207128420124058300 (orientação alinhada ao STJ: RESP 1.649.269/RJ).,PEDILEF 0501999-48.2009.4.05.8500/ SE,12/09/2011,Juiz Federal Rogério Moreira Alves,11/10/2011,28/10/2011,26/03/2015 - no STF,https://www.cjf.jus.br/phpdoc/virtus/
17,Julgado,DIREITO PREVIDENCIÁRIO,Saber se é necessário início de prova material no período de carência em salário-maternidade de segurada especial.,A exigência de início de prova material para concessão do salário-maternidade à segurada especial pode ser flexibilizada. Vide Tema 11.,PEDILEF 2009.32.00.704394-5/ AM,14/03/2011,Juiz Federal Paulo Ricardo Arena Filho,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
18,Julgado (Súmulas 5 e 14 da TNU),DIREITO PREVIDENCIÁRIO,"Saber se documentos em nome de terceiros integrantes do grupo familiar, relativos à propriedade da terra trabalhada, servem como início de prova material da atividade rural.","A certidão do INCRA ou outro documento que comprove propriedade de imóvel em nome de integrantes do grupo familiar do segurado é razoável início de prova material da condição de segurado especial para fins de aposentadoria rural por idade, inclusive dos períodos trabalhados a partir dos 12 anos de idade, antes da publicação da Lei n. 8.213/91. Desnecessidade de comprovação de todo o período de carência.",PEDILEF 2009.71.95.000509-1/ RS,23/03/2011,Juíza Federal Simone dos Santos Lemos Fernandes,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
19,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se a mera ausência de vínculo na CTPS é prova suficiente do desemprego involuntário e, em caso negativo, se são possíveis outros meios de prova diversos do registro em órgão do Ministério do Trabalho.","É possível comprovar a condição de desemprego involuntário por outros meios de prova diversos do registro no Ministério do Trabalho, não sendo a ausência de vínculo na CTPS suficiente para tanto. Vide Súmula 27 da TNU.",Processo,Decisão de afetação,Relator (a),Julgado em,Acórdão publicado em,Trânsito em julgado,
20,Julgado,DIREITO ADMINISTRATIVO,"Saber se há renúncia tácita da prescrição com o reconhecimento, pela Administração Pública, do direito ao adicional por tempo de serviço.","O reconhecimento, pela Administração Pública, do direito ao adicional por tempo de serviço - MP 1.962-25/2000, demonstrou renúncia tácita da prescrição, que volta a fluir na integralidade dos cinco anos, cujo termo a quo é a última edição da MP que se deu sob o n. 2.169-43, em 24/08/2001. Vide Tema 76 da TNU.",PEDILEF 2006.71.50.004837-5/ RS,11/10/2011,Juiz Federal Vladimir Santos Vitovsky,11/10/2011,18/11/2011,08/03/2012,https://www.cjf.jus.br/phpdoc/virtus/
21,Julgado,DIREITO PREVIDENCIÁRIO,Saber se para obtenção da aposentadoria por idade de segurado especial é necessário demonstrar atividade rural no período imediatamente anterior ao atingimento da idade mínima ou à apresentação do requerimento administrativo.,"Para a obtenção de aposentadoria por idade do segurado especial, é indispensável o exercício e a demonstração da atividade rural correspondente à carência no período imediatamente anterior ao implemento da idade mínima ou à data do requerimento administrativo. Vide Tema 145 da TNU.",PEDILEF 2006.71.95.008818-9/ RS,14/03/2011,Juíza Federal Simone dos Santos Lemos Fernandes,11/10/2011,18/11/2011,06/12/2011,https://www.cjf.jus.br/phpdoc/virtus/
22,Revisado pelo Tema 158,DIREITO ADMINISTRATIVO,Saber qual o termo final do reconhecimento da especialidade da atividade de magistério.,Não é possível a conversão de período laborado na atividade de professor em tempo comum após a Emenda Constitucional 18/81 (TESE FIRMADA NO TEMA 158).,PEDILEF 2006.70.54.000056-9/ PR,27/11/2008,Juiz Federal José Eduardo do Nascimento,06/09/2011,25/05/2012 18/11/2011,11/11/2014,https://www2.jf.jus.br/phpdoc/virtus/mostradocumento.php?Process=200670540000569&seq=2
23,Julgado,DIREITO PREVIDENCIÁRIO,Saber se o trabalho urbano do marido ou se percepção posterior de pensão alimentícia descaracteriza condição de segurada especial em regime de economia familiar.,"A condição de segurada especial em regime de economia familiar não é descaracterizada pelo trabalho urbano do marido da autora ou mesmo pela paga, posterior, de pensão alimentícia, em razão de separação.",PEDILEF 2008.72.50.003366-8/ SC,13/11/2009,Juiz Federal Paulo Ricardo Arena Filho,11/10/2011,18/11/2011,06/12/2011,https://www.cjf.jus.br/phpdoc/virtus/
